plan_id,brand_name,display_name,type,tariff_type,supply_c_per_day,single_rate_c_per_kwh,feed_in_c_per_kwh,controlled_load_c_per_kwh,pay_on_time_only,plan_doc_url
LCL1061394MRE1@EME,Energy Locals Retail,Home Energy Classic,MARKET,TIME_OF_USE,,,0.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1061394MRE1@EME
LCL1061369MBE1@EME,Energy Locals Retail,Business Member,MARKET,TIME_OF_USE,,,15.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1061369MBE1@EME
LCL1061381MBE1@EME,Energy Locals Retail,Business Member,MARKET,TIME_OF_USE,,,15.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1061381MBE1@EME
LCL1061401MRE1@EME,Energy Locals Retail,Home Energy Classic,MARKET,TIME_OF_USE,,,0.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1061401MRE1@EME
LCL1061370MRE1@EME,Energy Locals Retail,Home Energy Classic,MARKET,TIME_OF_USE,,,0.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1061370MRE1@EME
LCL1061383MRE1@EME,Energy Locals Retail,Home Energy Classic,MARKET,TIME_OF_USE,,,0.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1061383MRE1@EME
LCL1059851MRE1@EME,Energy Locals Retail,Home Energy Classic,MARKET,SINGLE_RATE,,32.7273,0.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1059851MRE1@EME
LCL1059850MRE1@EME,Energy Locals Retail,Home Energy Classic,MARKET,SINGLE_RATE,,32.7273,0.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1059850MRE1@EME
LCL1059838MBE1@EME,Energy Locals Retail,Business Member,MARKET,SINGLE_RATE,,36.8182,4.5,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1059838MBE1@EME
LCL1059840MBE1@EME,Energy Locals Retail,Business Member,MARKET,TIME_OF_USE,,,15.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1059840MBE1@EME
LCL1059837MBE1@EME,Energy Locals Retail,Business Member,MARKET,TIME_OF_USE,,,15.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1059837MBE1@EME
LCL1059839MBE1@EME,Energy Locals Retail,Business Member,MARKET,SINGLE_RATE,,36.8182,4.5,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1059839MBE1@EME
LCL1051064MRE2@EME,Energy Locals Retail,Daytime Essential,MARKET,TIME_OF_USE,,,0.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1051064MRE2@EME
LCL1051066MRE2@EME,Energy Locals Retail,Online Member to SA Daytime Essential,MARKET,TIME_OF_USE,,,0.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1051066MRE2@EME
LCL1051065MRE1@EME,Energy Locals Retail,Online Member to SA Daytime Essential,MARKET,TIME_OF_USE,,,0.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1051065MRE1@EME
LCL1051063MRE1@EME,Energy Locals Retail,Daytime Essential,MARKET,TIME_OF_USE,,,0.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1051063MRE1@EME
RAA1042436MRE1@EME,RAA Energy,RAA Member Standard to Smart,MARKET,TIME_OF_USE,,,0.0,,False,https://www.energymadeeasy.gov.au/plan?id=RAA1042436MRE1@EME
RAA1042437MRE1@EME,RAA Energy,RAA Member Solar Smart,MARKET,TIME_OF_USE,,,4.5,,False,https://www.energymadeeasy.gov.au/plan?id=RAA1042437MRE1@EME
RAA1042431MRE1@EME,RAA Energy,RAA Member Smart,MARKET,TIME_OF_USE,,,0.0,,False,https://www.energymadeeasy.gov.au/plan?id=RAA1042431MRE1@EME
RAA1042434MRE1@EME,RAA Energy,RAA Member Solar Standard to Smart,MARKET,TIME_OF_USE,,,4.5,,False,https://www.energymadeeasy.gov.au/plan?id=RAA1042434MRE1@EME
LCL1042410MRE1@EME,Energy Locals Retail,Online Member,MARKET,TIME_OF_USE,,,15.0,,False,https://www.energymadeeasy.gov.au/plan?id=LCL1042410MRE1@EME
